CODE,AREA,COUNTY that LA falls within,AGE GROUP,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
09UC,Mid Bedfordshire,Bedfordshire,ALL AGES ,128.5,131.1,133.5,135.7,137.8,139.8,141.8,143.8,145.7,147.6,149.5,151.3,153.1,154.9,156.6,158.3,160,161.6,163.2,164.7,166.2,167.6,169,170.3,171.6,172.8
09UD,Bedford,Bedfordshire,ALL AGES ,152.6,154.7,156.6,158.4,160.2,161.9,163.6,165.4,167.1,168.8,170.4,172.1,173.7,175.4,177,178.6,180.1,181.7,183.2,184.7,186.2,187.6,188.9,190.3,191.6,192.8
09UE,South Bedfordshire,Bedfordshire,ALL AGES ,114.7,115.5,116.2,116.9,117.5,118.1,118.8,119.4,120.1,120.7,121.4,122.1,122.7,123.4,124.1,124.8,125.4,126,126.7,127.2,127.8,128.4,128.9,129.4,129.9,130.3
11UB,Aylesbury Vale,Buckinghamshire,ALL AGES ,168.3,169.3,170.3,171.2,172,172.9,173.7,174.5,175.4,176.3,177.2,178,178.9,179.8,180.6,181.5,182.3,183.2,184,184.8,185.6,186.4,187.1,187.9,188.5,189.2
11UC,Chiltern,Buckinghamshire,ALL AGES ,89.4,89.5,89.6,89.7,89.8,89.8,89.9,89.9,90,90.1,90.2,90.3,90.4,90.5,90.7,90.8,90.9,91.1,91.3,91.4,91.6,91.8,91.9,92.1,92.3,92.4
11UE,South Bucks,Buckinghamshire,ALL AGES ,62.9,63.4,63.9,64.2,64.6,64.9,65.2,65.5,65.8,66.1,66.3,66.6,66.9,67.1,67.4,67.6,67.9,68.2,68.4,68.7,68.9,69.1,69.4,69.6,69.8,70
11UF,Wycombe,Buckinghamshire,ALL AGES ,160.9,160.9,161,160.9,160.9,160.9,160.8,160.9,160.9,161,161.1,161.2,161.3,161.5,161.7,161.8,162,162.2,162.4,162.6,162.8,163,163.2,163.4,163.6,163.8
12UB,Cambridge,Cambridgeshire,ALL AGES ,113.2,115.1,116.6,117.7,118.6,119.5,120.3,121.1,121.8,122.5,123.1,123.8,124.4,125.1,125.6,126.2,126.7,127.2,127.8,128.4,129.2,129.9,130.5,131.1,131.6,132.1
12UC,East Cambridgeshire,Cambridgeshire,ALL AGES ,76.7,77.9,79.1,80.2,81.3,82.4,83.5,84.6,85.6,86.7,87.8,88.8,89.9,90.9,91.9,93,94,95,95.9,96.8,97.7,98.6,99.4,100.3,101,101.8
12UD,Fenland,Cambridgeshire,ALL AGES ,88.1,89.2,90.3,91.4,92.5,93.6,94.7,95.8,96.8,97.9,99,100.1,101.1,102.2,103.2,104.3,105.3,106.3,107.3,108.3,109.3,110.2,111.1,112,112.9,113.7
12UE,Huntingdonshire,Cambridgeshire,ALL AGES ,163.2,165,166.6,168.2,169.6,171.1,172.6,174,175.5,176.9,178.3,179.8,181.2,182.7,184.1,185.6,187,188.4,189.7,191.1,192.3,193.6,194.8,195.9,197,198.1
12UG,South Cambridgeshire,Cambridgeshire,ALL AGES ,133.4,135,136.5,137.9,139.2,140.6,141.9,143.2,144.6,146,147.3,148.6,150,151.3,152.7,154,155.3,156.6,157.9,159.1,160.3,161.4,162.5,163.5,164.6,165.5
13UB,Chester,Cheshire,ALL AGES ,118.9,119.2,119.4,119.6,119.9,120.1,120.4,120.6,120.8,121,121.3,121.5,121.7,122,122.2,122.5,122.7,123,123.2,123.5,123.8,124,124.3,124.5,124.7,124.9
